1,476.54,208.19,31.573,77.006,68.115
1,488,207.16,34.526,84.211,51.585
1,396.54,183.52,31.573,77.006,49.617
1,553.75,195,20.5,50,49.101
1,291.26,183.7,24.296,59.259,47.602
1,427.37,186.95,34.526,84.211,47.236
1,261.75,187,20.5,50,47.102
1,580.44,202.67,24.296,59.259,41.743
1,361.75,178.64,28.8,70.245,40.471
1,559.09,332.8,74.737,182.28,40.137
1,406.67,173.01,28.8,70.245,39.792
1,473.75,195,20.5,50,37.338
1,256.16,165.2,22.448,54.752,36.527
1,8.8462,134.17,31.573,77.006,36.221
1,557.75,207,20.5,50,35.269
1,484.11,187.08,22.448,54.752,35.066
1,70.385,183.52,31.573,77.006,34.784
1,600.54,180.07,44.392,108.27,33.452
1,316.84,184.26,28.8,70.245,33.439
1,341.75,187,20.5,50,32.36
1,621.75,459,20.5,50,32.151
1,9.75,79,20.5,50,31.512
1,329.19,174.22,24.296,59.259,31.404
1,74.043,212.21,69.464,169.42,30.781
1,211.92,171.18,31.573,77.006,30.683
1,396.54,146.51,31.573,77.006,30.568
1,615.62,134.56,22.448,54.752,30.065
1,384.23,90.988,31.573,77.006,29.789
1,408.85,202.02,31.573,77.006,29.638
1,439.62,202.02,31.573,77.006,29.487
1,244.84,184.89,26.476,64.575,28.762
1,350.53,189.89,28.8,70.245,28.745
1,496.09,181.03,37.607,91.723,28.17
1,38.387,71.111,26.476,64.575,27.882
1,270.65,179.72,26.476,64.575,27.744
1,281.78,160,24.296,59.259,26.704
1,111.51,47.043,22.448,54.752,26.639
1,617.75,263,20.5,50,26.039
1,73.75,139,20.5,50,25.67
1,489.75,75,20.5,50,25.485
1,73.75,163,20.5,50,25.429
1,474.04,240.53,28.8,70.245,25.193
1,-4.1379,173.71,37.607,91.723,25.028
1,558.63,178.32,22.448,54.752,24.913
1,39.615,134.17,31.573,77.006,24.312
1,466.58,204.58,22.448,54.752,23.765
1,-4.5,214,41,100,23.454
1,273.7,156.44,22.448,54.752,23.198
1,44.741,55.704,24.296,59.259,22.826
1,97.75,107,20.5,50,22.581
1,168.49,73.299,22.448,54.752,21.674
1,131.5,150,41,100,21.498
1,529.75,135,20.5,50,21.314
1,509.75,79,20.5,50,21.109
1,147.5,286,41,100,20.66
1,547.26,55.704,24.296,59.259,20.29
1,593.46,90.988,31.573,77.006,19.797
1,402.69,220.53,31.573,77.006,19.489
1,131.92,306.89,31.573,77.006,19.468
1,603.5,294,41,100,19.285
1,505.75,147,20.5,50,19.086
1,73.75,59,20.5,50,18.82
1,422.74,173.95,22.448,54.752,18.621
1,581.75,291,20.5,50,18.331
1,125.77,60.145,31.573,77.006,18.176
1,269.75,135,20.5,50,17.661
1,507.31,29.301,31.573,77.006,17.428
1,558.25,116.75,28.8,70.245,17.327
1,497.26,82.051,22.448,54.752,17.048
1,185.75,303,20.5,50,16.85
1,163.5,318,41,100,16.486
1,400.42,99.368,34.526,84.211,16.247
1,524.56,71.736,28.8,70.245,16.086
1,541.75,123,20.5,50,16.002
1,529.75,215,20.5,50,15.963
1,107.57,344.95,44.392,108.27,15.943
1,549.75,183,20.5,50,15.537
1,84.839,438.3,26.476,64.575,15.12
1,61.75,219,20.5,50,15.002
1,316.84,156.13,28.8,70.245,14.853
1,621.75,439,20.5,50,14.632
1,581.15,152.67,31.573,77.006,14.584
1,533.75,43,20.5,50,14.37
1,321.75,115,20.5,50,13.725
1,291.92,90.988,31.573,77.006,13.624
1,566.22,145.78,24.296,59.259,13.548
1,89.75,139,20.5,50,13.456
1,544.23,220.53,31.573,77.006,12.833
1,591.93,144.88,28.8,70.245,12.738
1,101.63,36.741,24.296,59.259,12.364
1,359.29,247.47,58.454,142.57,12.36
1,621.75,123,20.5,50,12.323
1,518.95,234.9,28.8,70.245,12.039
1,269.75,79,20.5,50,11.564
1,121.75,435,20.5,50,10.767
1,133.51,249.49,44.392,108.27,9.6067
1,208.71,34.909,26.476,64.575,8.2555
1,77.75,423,20.5,50,8.085
1,170.88,268.66,28.8,70.245,6.8179
1,369.75,95,20.5,50,6.524
1,518.81,150.52,24.296,59.259,5.9552
1,413.97,60.171,22.448,54.752,5.897
1,261.75,207,20.5,50,5.517
2,562.69,214.36,31.573,77.006,73.302
2,575,208.19,31.573,77.006,55.999
2,531.92,226.7,31.573,77.006,45.922
2,451.95,181.03,37.607,91.723,42.097
2,2.6923,109.49,31.573,77.006,41.884
2,245.75,163,20.5,50,37.786
2,556.54,232.87,31.573,77.006,36.499
2,58.077,374.75,31.573,77.006,35.972
2,437.24,173.71,37.607,91.723,32.845
2,611.92,306.89,31.573,77.006,32.215
2,241.75,179,20.5,50,30.437
2,615.62,182.7,22.448,54.752,30.396
2,261.75,167,20.5,50,30.001
2,605.77,288.39,31.573,77.006,28.053
2,510.8,224.91,37.607,91.723,27.404
2,269.75,167,20.5,50,27.048
2,613.63,112.59,24.296,59.259,25.914
2,568.85,239.04,31.573,77.006,25.68
2,21.154,436.43,31.573,77.006,25.024
2,5.75,171,20.5,50,24.938
2,444.6,202.97,37.607,91.723,23.923
2,496.09,12.8,37.607,91.723,22.156
2,484.11,270.22,22.448,54.752,21.957
